aX,aY,aZ,gX,gY,gZ
-0.249,-0.985,2.174,-26.062,12.512,-76.477

-0.364,-0.945,2.386,-45.105,46.509,-80.200
-0.509,-0.844,2.554,-51.514,73.730,-78.674
-0.666,-0.734,2.604,-41.931,93.323,-71.472
-0.786,-0.685,2.506,-18.921,109.070,-56.763
-0.844,-0.720,2.288,7.507,123.901,-35.461
-0.871,-0.790,2.020,28.564,140.686,-11.169
-0.868,-0.828,1.765,41.077,158.875,12.329
-0.836,-0.818,1.553,46.509,175.598,34.973
-0.784,-0.789,1.358,49.744,188.416,55.847
-0.731,-0.726,1.155,53.284,195.801,74.646
-0.671,-0.647,0.979,56.946,198.242,91.797
-0.607,-0.535,0.818,59.631,194.275,108.032
-0.538,-0.446,0.661,62.805,184.021,123.840
-0.483,-0.409,0.489,66.162,168.701,138.000
-0.458,-0.359,0.292,67.932,151.428,147.827
-0.438,-0.306,0.067,67.871,135.864,153.748
-0.406,-0.244,-0.150,65.369,123.535,157.288
-0.357,-0.157,-0.305,59.021,113.770,159.668
-0.296,-0.080,-0.390,46.936,104.797,162.231
-0.223,-0.008,-0.399,31.982,93.079,164.001
-0.145,0.102,-0.347,15.991,77.454,164.062
-0.084,0.230,-0.270,3.723,56.458,160.889
-0.015,0.330,-0.207,-2.075,31.067,154.114
0.064,0.392,-0.180,-4.822,5.127,144.226
0.140,0.484,-0.105,-8.911,-16.724,132.690
0.198,0.591,0.010,-16.785,-33.752,122.620
0.224,0.688,0.132,-24.536,-46.082,114.990
0.259,0.696,0.254,-28.992,-52.368,108.337
0.292,0.722,0.355,-31.067,-53.162,100.830
0.312,0.749,0.490,-31.860,-48.523,92.163
0.342,0.761,0.636,-29.785,-42.114,83.191
0.365,0.758,0.739,-24.841,-37.964,74.036
0.383,0.747,0.827,-19.714,-34.912,65.552
0.405,0.681,0.898,-15.259,-32.166,57.312
0.423,0.615,0.957,-11.353,-29.114,48.523
0.417,0.569,0.981,-8.484,-25.940,39.246
0.402,0.519,0.984,-7.263,-21.301,30.151
0.389,0.475,1.000,-7.996,-15.015,21.606
0.385,0.437,1.036,-10.254,-7.629,13.550
0.375,0.410,1.063,-11.597,-1.221,6.836
0.369,0.374,1.083,-10.864,2.747,1.709
0.370,0.325,1.095,-8.057,4.822,-1.953
0.372,0.274,1.084,-3.906,5.432,-4.517
0.362,0.217,1.047,-0.610,5.188,-7.019
0.356,0.154,1.002,1.099,5.310,-9.338
0.357,0.098,0.985,0.671,6.531,-11.536
0.358,0.058,0.985,-1.221,7.812,-13.428
0.354,0.027,0.986,-2.380,8.179,-15.137
0.342,0.006,0.972,-2.625,7.202,-16.663
0.327,-0.002,0.956,-2.502,5.554,-17.700
0.316,-0.006,0.942,-3.296,4.639,-17.761
0.310,-0.008,0.933,-4.578,4.028,-16.663
0.317,-0.007,0.941,-5.493,3.357,-14.954
0.323,-0.007,0.958,-5.310,2.502,-12.817
0.319,-0.007,0.958,-3.967,0.854,-10.559
0.318,-0.007,0.924,-2.197,-1.282,-8.362
0.324,-0.011,0.932,-0.977,-2.563,-5.798
0.340,-0.013,0.905,-1.038,-3.845,-4.150
0.354,-0.002,0.919,-1.099,-4.150,-3.357
0.356,0.002,0.908,-1.099,-3.967,-3.174
0.360,0.015,0.914,-0.183,-3.906,-3.845
0.361,0.018,0.907,0.671,-3.784,-4.395
0.366,0.018,0.903,1.160,-3.540,-4.517
0.366,0.009,0.898,0.977,-3.357,-4.761
0.369,0.015,0.896,0.793,-2.991,-4.883
0.373,0.003,0.901,0.244,-2.197,-5.005
0.376,0.008,0.905,-0.610,-2.075,-4.883
0.379,0.009,0.917,-0.610,-2.136,-5.005
0.387,0.016,0.932,-0.122,-2.686,-4.761
0.393,0.002,0.931,1.160,-4.272,-4.395
0.390,-0.006,0.918,2.991,-5.920,-4.150
0.387,-0.020,0.895,3.601,-6.653,-4.150
0.388,-0.030,0.891,2.563,-6.470,-4.150
0.388,-0.033,0.891,0.732,-5.798,-4.333
0.386,-0.025,0.896,-1.160,-4.944,-4.517
0.386,-0.015,0.908,-2.808,-4.028,-4.395
0.386,-0.010,0.927,-3.540,-3.845,-4.150
0.385,-0.009,0.940,-2.991,-4.578,-3.845
0.379,-0.011,0.939,-1.648,-7.141,-3.784
0.368,-0.015,0.936,-0.793,-8.728,-3.662
0.356,-0.018,0.934,-0.793,-9.583,-3.601
0.344,-0.026,0.935,-1.282,-10.132,-3.662
0.331,-0.019,0.938,-1.770,-9.766,-3.906
0.321,-0.010,0.946,-2.258,-9.033,-4.150
0.310,-0.006,0.951,-2.563,-8.545,-4.211
0.302,0.003,0.958,-2.441,-7.446,-3.967
0.299,0.017,0.968,-1.831,-6.653,-3.540
0.298,0.024,0.973,-1.038,-6.165,-2.747
0.299,0.032,0.969,0.000,-6.104,-1.709
0.304,0.034,0.967,0.854,-6.165,-0.549
0.312,0.030,0.963,1.587,-6.531,0.488
0.319,0.028,0.955,2.197,-6.165,0.610
0.323,0.022,0.945,2.930,-5.249,0.671
0.323,0.015,0.937,3.235,-4.211,0.244
0.323,0.015,0.932,2.991,-2.991,-0.549
0.323,0.022,0.936,2.808,-1.892,-0.916
0.324,0.021,0.936,2.808,-1.831,-1.038
0.326,0.018,0.929,2.991,-2.319,-1.160
0.327,0.017,0.919,2.930,-2.625,-1.038
0.332,0.013,0.915,2.502,-2.258,-0.671
0.341,0.012,0.915,1.709,-2.075,-0.122
0.355,0.016,0.927,1.343,-1.953,0.000
0.365,0.010,0.937,1.770,-2.625,0.000
0.371,0.003,0.931,2.441,-3.906,-0.244
0.369,-0.000,0.924,2.502,-5.188,-0.916
0.363,0.001,0.925,1.892,-6.287,-1.831
0.354,0.001,0.924,0.977,-6.653,-2.563
0.348,0.006,0.929,0.244,-6.714,-3.052
0.344,0.011,0.937,0.000,-6.409,-3.357
0.340,0.012,0.948,0.000,-5.859,-3.357
0.339,0.008,0.952,0.549,-6.104,-3.113
0.338,0.014,0.956,0.977,-6.226,-2.869
0.339,0.011,0.954,1.282,-6.409,-2.502
0.340,0.008,0.954,1.770,-6.897,-2.319
1.009,-0.842,2.304,-5.371,-54.565,-5.676
0.864,-0.947,2.487,-9.705,-71.350,-17.517
0.453,-0.960,2.529,-8.057,-79.834,-34.973
-0.015,-0.929,2.536,-6.104,-71.228,-51.941
-0.401,-0.930,2.527,-8.484,-43.518,-64.636
-0.729,-0.982,2.489,-10.925,-1.709,-72.266
-0.996,-1.020,2.430,-13.000,49.377,-75.562

-1.186,-1.030,2.394,-12.878,104.736,-75.195
-1.335,-0.978,2.357,-9.338,154.724,-69.702
-1.459,-0.844,2.305,-2.380,193.665,-56.702
-1.565,-0.674,2.198,11.963,217.224,-33.203
-1.615,-0.545,1.999,33.752,225.159,2.747
-1.613,-0.456,1.680,58.167,221.008,48.584
-1.503,-0.406,1.290,79.102,211.548,100.830
-1.338,-0.410,0.918,90.088,200.562,151.306
-1.149,-0.364,0.582,90.454,190.552,193.115
-0.926,-0.262,0.311,82.825,181.885,223.083
-0.684,-0.132,0.092,71.289,173.584,240.417
-0.443,0.014,-0.090,58.594,165.894,245.361
-0.201,0.134,-0.225,44.983,158.142,239.929
0.016,0.227,-0.296,31.555,148.499,224.976
0.182,0.341,-0.303,17.944,136.719,202.881
0.279,0.493,-0.293,7.202,122.375,178.040
0.339,0.639,-0.255,1.648,106.750,156.372
0.380,0.738,-0.202,0.671,89.966,140.015
0.400,0.792,-0.151,2.869,72.632,127.625
0.409,0.795,-0.089,6.287,54.138,117.554
0.410,0.770,-0.033,7.751,36.133,107.910
0.402,0.723,0.013,6.531,20.142,97.961
0.386,0.661,0.079,2.686,7.629,87.341
0.357,0.612,0.168,-3.174,-0.732,75.256
0.331,0.604,0.254,-9.216,-5.127,62.195
0.325,0.592,0.344,-13.489,-6.775,49.927
0.329,0.550,0.431,-15.503,-5.920,39.795
0.338,0.508,0.523,-17.151,-4.456,31.128
0.341,0.466,0.597,-18.921,-3.540,23.376
0.345,0.459,0.646,-18.982,-3.357,16.113
0.341,0.444,0.700,-18.005,-4.211,10.742
0.348,0.399,0.743,-16.785,-4.883,7.324
0.351,0.344,0.772,-15.381,-5.554,4.822
0.357,0.299,0.801,-14.221,-6.042,2.075
0.363,0.261,0.825,-13.794,-5.859,-0.366
0.375,0.232,0.853,-14.099,-4.883,-2.625
0.385,0.206,0.883,-14.099,-4.456,-4.639
0.398,0.190,0.905,-14.404,-4.333,-6.775
0.408,0.164,0.937,-14.160,-4.578,-8.728
0.418,0.146,0.964,-13.245,-5.493,-10.803
0.412,0.136,0.973,-11.475,-6.592,-12.756
0.408,0.103,0.969,-8.789,-7.385,-13.733
0.405,0.054,0.951,-5.798,-7.507,-14.404
0.401,0.027,0.938,-4.944,-6.775,-15.381
