aX,aY,aZ,gX,gY,gZ
-0.284,0.067,1.895,-10.620,48.889,26.245
0.026,0.004,1.694,11.292,46.204,34.546
0.258,-0.139,1.445,31.006,27.039,33.875
0.469,-0.158,1.212,28.687,11.597,29.236
0.531,-0.105,1.002,12.512,2.991,25.513
0.444,-0.025,0.876,-4.333,-5.066,22.522
0.309,0.028,0.828,-14.893,-14.160,18.738
0.157,-0.002,0.886,-24.170,-20.142,16.541
0.067,-0.022,0.998,-33.264,-20.325,12.390
0.023,0.040,1.078,-29.175,-17.090,4.456
0.023,0.095,1.117,-11.475,-13.855,-2.747
0.036,0.129,1.193,3.418,-11.597,-7.019
0.055,0.139,1.276,15.442,-10.010,-11.780
0.024,0.159,1.323,29.785,-8.667,-18.494
-0.013,0.206,1.304,43.457,-8.545,-25.330
-0.021,0.297,1.230,52.307,-7.507,-29.602
0.013,0.361,1.126,60.120,-3.479,-29.236
0.027,0.310,1.026,65.002,2.441,-22.034
0.036,0.178,0.990,62.317,9.338,-12.085
0.031,0.062,1.026,52.246,15.503,-5.066
0.014,-0.018,1.104,36.255,17.395,-2.441
0.008,-0.079,1.158,15.869,13.062,-1.770
0.016,-0.133,1.135,-2.441,3.479,-2.319
0.026,-0.153,1.107,-17.639,-7.019,-4.395
0.032,-0.108,1.102,-34.058,-15.625,-7.446
0.009,-0.046,1.080,-47.791,-20.081,-8.850
-0.030,0.023,1.046,-55.603,-19.470,-7.629
-0.036,0.105,1.013,-57.434,-15.137,-5.249
-0.005,0.151,0.985,-52.979,-10.254,-1.770
0.005,0.132,0.960,-47.546,-7.019,3.113
