aX,aY,aZ,gX,gY,gZ
-0.101,-0.471,1.318,-31.738,-86.060,5.493
-0.061,-0.525,1.344,-21.545,-89.844,18.311
-0.014,-0.549,1.397,-11.292,-91.980,26.794
-0.010,-0.596,1.400,-5.798,-92.590,31.677
-0.006,-0.601,1.398,-3.601,-91.064,34.424
0.005,-0.614,1.422,-2.258,-87.280,35.889
0.001,-0.616,1.455,-2.625,-82.153,37.354
-0.016,-0.579,1.493,-3.601,-77.026,39.490
-0.022,-0.535,1.545,-4.517,-72.144,43.457
-0.028,-0.494,1.602,-5.005,-68.237,49.805
-0.027,-0.459,1.634,-5.249,-64.819,58.044
-0.031,-0.437,1.632,-4.211,-62.073,65.979
-0.024,-0.469,1.729,-2.747,-57.922,72.266
-0.037,-0.416,1.723,-1.282,-53.650,75.806
-0.064,-0.376,1.686,0.305,-49.011,79.346
-0.083,-0.369,1.617,2.441,-42.358,84.290
-0.095,-0.391,1.584,3.418,-33.508,88.928
-0.103,-0.371,1.586,0.610,-25.269,92.163
-0.104,-0.319,1.609,-6.104,-19.104,95.398
-0.097,-0.243,1.623,-13.000,-14.587,99.182
-0.089,-0.186,1.635,-16.541,-10.620,102.417
-0.106,-0.083,1.650,-17.883,-6.836,104.187
-0.128,0.009,1.664,-18.433,-2.991,106.934
-0.133,0.105,1.701,-18.127,0.549,110.779
-0.125,0.199,1.746,-17.944,3.174,114.319
-0.117,0.282,1.779,-16.541,4.822,116.577
-0.103,0.373,1.802,-14.221,6.714,117.249
-0.086,0.462,1.827,-11.047,9.399,116.577
-0.073,0.555,1.833,-7.446,13.123,114.685
-0.069,0.622,1.827,-2.747,17.944,111.023
-0.075,0.684,1.811,3.967,24.658,105.835
-0.081,0.745,1.787,9.766,32.654,99.976
-0.079,0.787,1.759,13.489,40.955,94.421
-0.073,0.800,1.722,16.907,49.866,88.440
-0.066,0.799,1.667,20.630,59.082,81.116
-0.056,0.796,1.603,24.719,67.749,72.510
-0.050,0.776,1.521,26.794,75.989,63.416
-0.036,0.756,1.433,25.757,83.496,54.077
-0.016,0.736,1.338,22.278,90.759,44.983

0.016,0.712,1.269,17.090,98.206,36.255
0.049,0.672,1.203,11.963,104.370,27.466
0.094,0.641,1.144,6.714,108.459,18.494
0.131,0.625,1.072,0.366,109.802,9.827
0.169,0.640,1.019,-6.531,108.459,1.709
0.207,0.663,1.012,-12.573,104.309,-5.127
0.231,0.664,1.017,-14.648,96.313,-12.451
0.229,0.674,0.992,-12.878,84.900,-20.935
0.201,0.664,0.906,-9.644,73.242,-30.029
0.171,0.639,0.816,-8.423,64.880,-37.964
0.157,0.604,0.776,-9.766,61.462,-44.800
-0.237,0.538,1.898,-26.794,6.592,116.882
-0.203,0.605,1.875,-22.095,16.663,122.253
-0.148,0.674,1.858,-18.433,27.771,124.268
-0.102,0.714,1.854,-13.916,38.086,121.887
-0.077,0.766,1.847,-9.521,46.631,115.356
-0.070,0.818,1.824,-7.141,53.223,106.445
-0.062,0.886,1.782,-5.676,59.692,96.741
-0.042,0.909,1.743,-3.174,66.650,87.402
-0.021,0.922,1.691,2.014,74.280,78.125
-0.014,0.889,1.603,7.874,80.811,68.665
-0.006,0.830,1.448,10.742,87.830,59.875
0.027,0.851,1.393,10.986,97.168,51.147
0.064,0.774,1.315,10.925,106.750,43.945
0.098,0.796,1.292,12.634,113.403,34.851
0.123,0.771,1.223,13.672,113.892,26.978
0.141,0.772,1.138,12.878,109.253,19.897
0.163,0.718,1.075,11.719,103.271,14.160
0.180,0.684,1.019,11.597,96.802,7.324
0.189,0.655,0.960,11.292,90.393,-0.061
0.195,0.651,0.904,10.132,84.961,-6.348
0.194,0.642,0.859,9.949,81.238,-11.902
0.189,0.624,0.816,10.559,77.637,-17.212
0.187,0.603,0.770,10.559,74.524,-21.729
0.187,0.586,0.735,9.277,70.801,-26.428
0.192,0.594,0.716,8.118,65.857,-31.250
0.187,0.588,0.690,7.935,59.692,-35.339
0.176,0.557,0.657,8.301,53.284,-38.452
0.185,0.528,0.622,9.033,46.875,-42.297
0.175,0.500,0.567,9.766,41.382,-46.997
0.160,0.443,0.552,10.010,36.743,-51.636
0.146,0.419,0.518,9.277,32.471,-57.251
0.117,0.410,0.454,6.165,28.931,-61.829
0.108,0.385,0.404,1.587,27.161,-64.209
0.117,0.362,0.377,-3.479,26.794,-66.467
0.117,0.342,0.372,-7.690,26.733,-68.848
0.110,0.331,0.378,-10.315,24.841,-71.777
0.106,0.315,0.380,-11.597,20.996,-75.134
0.099,0.285,0.369,-12.329,15.137,-77.698
0.084,0.265,0.356,-13.367,8.911,-79.773
0.074,0.259,0.342,-14.832,2.991,-81.360
0.069,0.236,0.337,-15.625,-1.282,-81.177
0.069,0.207,0.341,-16.479,-4.456,-80.078
0.068,0.166,0.348,-16.846,-7.751,-79.224
0.074,0.132,0.345,-17.334,-10.925,-78.918
0.074,0.097,0.339,-18.860,-14.465,-79.163
0.070,0.077,0.349,-21.545,-17.395,-80.017
0.054,0.071,0.385,-23.865,-19.104,-81.238
0.021,0.055,0.411,-23.743,-21.179,-82.031
-0.016,0.031,0.423,-22.339,-23.743,-81.848
-0.040,-0.005,0.424,-21.545,-25.452,-80.872
-0.065,-0.027,0.418,-22.400,-27.161,-78.247
