aX,aY,aZ,gX,gY,gZ
0.233,-1.952,1.132,-65.002,103.394,-278.320
0.145,-1.289,0.935,-162.231,39.368,-221.436
-0.264,-0.446,0.900,-185.730,2.991,-114.136
-0.600,0.326,0.973,-170.044,-16.907,14.343
-0.598,0.632,0.962,-136.414,-39.063,128.540
-0.354,0.656,1.138,-99.854,-59.021,202.087
-0.121,0.464,1.327,-47.791,-75.439,221.252
-0.085,0.067,1.464,6.409,-88.867,188.782
-0.233,-0.340,1.390,50.842,-94.360,115.906
-0.446,-0.344,1.453,75.989,-82.214,25.208
-0.634,-0.171,1.268,72.876,-57.190,-50.049
-0.724,0.061,0.990,44.983,-25.574,-89.844
-0.697,0.316,0.906,7.385,14.038,-93.994
-0.598,0.496,0.969,-22.949,53.894,-71.411
-0.461,0.502,1.076,-35.278,81.604,-34.851
-0.309,0.377,1.125,-28.564,92.773,1.465
-0.163,0.180,1.094,-11.841,90.332,29.480
-0.053,-0.005,1.054,3.296,80.261,44.250
0.013,-0.125,0.996,14.954,67.200,46.875
0.037,-0.189,0.958,24.536,53.345,41.748
0.027,-0.194,0.924,29.663,39.856,34.607
-0.008,-0.143,0.869,28.748,27.466,29.846
-0.046,-0.087,0.820,21.118,16.663,28.625
-0.050,-0.024,0.786,10.132,8.728,29.175
-0.036,0.037,0.773,0.183,3.906,29.663
-0.030,0.081,0.791,-6.958,2.136,28.076

0.204,-2.463,1.209,186.462,-14.282,-349.854
-0.045,-2.669,1.029,205.811,-41.443,-422.668
-0.572,-2.465,0.871,185.974,-48.401,-457.581
-1.292,-2.031,0.744,126.343,-35.339,-422.791
-1.361,-1.624,0.839,53.162,-8.301,-308.289
-1.459,-1.130,1.153,-4.211,20.935,-137.939
-1.529,-0.693,1.341,-32.410,33.081,49.255
-1.199,-0.567,0.982,-53.406,31.189,231.201
-1.082,-0.086,0.935,-115.051,30.396,376.038
-0.935,0.575,0.967,-203.857,26.306,463.562
-0.771,1.215,0.873,-289.062,23.437,494.141
-0.404,1.846,0.895,-340.149,27.039,469.238
-0.076,2.612,0.727,-321.533,31.616,390.808
0.128,3.269,0.470,-221.497,33.508,287.354
0.054,3.560,0.401,-78.003,31.860,188.232
-0.128,3.272,0.503,54.382,24.780,101.563
-0.132,2.484,0.397,147.888,13.123,18.860
-0.052,1.637,0.239,201.233,10.559,-64.697
0.021,0.861,0.277,218.140,21.973,-144.043
0.163,0.124,0.515,208.069,36.072,-212.585
0.299,-0.564,0.677,191.956,41.443,-269.043
0.361,-1.259,0.700,174.194,37.231,-311.951
0.304,-1.906,0.771,145.386,25.330,-338.074
0.138,-2.329,1.045,98.267,3.174,-342.407
-0.221,-2.486,1.264,42.480,-33.936,-315.552
-0.637,-2.470,1.362,-7.996,-79.407,-249.634
-1.145,-2.196,1.318,-45.044,-115.662,-150.513
-1.426,-1.730,1.249,-72.632,-129.272,-28.381
-1.397,-1.202,1.112,-98.511,-116.821,100.098
-1.268,-0.591,1.100,-128.357,-82.397,216.370
-1.176,0.136,1.125,-163.086,-43.152,304.382
-1.052,1.036,1.171,-204.407,-13.550,357.422
-0.859,1.916,1.225,-242.432,6.104,372.620
-0.537,2.392,1.082,-249.451,24.780,338.501
-0.214,2.578,0.897,-194.153,49.438,242.187
0.077,2.632,0.505,-82.336,75.073,104.248
0.177,2.418,0.380,41.382,97.778,-29.419
0.026,1.836,0.513,138.123,113.220,-133.057
-0.067,0.946,0.570,204.102,112.366,-211.792
-0.019,-0.111,0.606,249.695,100.220,-276.733
0.088,-1.220,0.619,282.288,87.463,-329.956
0.149,-2.284,0.505,287.109,81.787,-366.455
0.087,-3.031,0.393,234.802,77.576,-374.939
-0.088,-3.205,0.515,117.310,58.594,-333.740
-0.346,-2.729,0.879,-29.175,12.329,-234.985
-0.665,-1.803,0.934,-127.625,-51.453,-98.633
-0.958,-0.801,0.962,-145.752,-95.459,66.589
-0.946,-0.019,1.083,-158.508,-125.305,222.046
-0.913,0.806,1.115,-168.213,-142.273,339.600
-0.879,1.759,1.361,-192.627,-144.043,410.339
-0.764,2.420,1.642,-204.163,-134.888,425.842
-0.800,2.578,1.457,-159.790,-111.816,363.403
-0.714,2.388,0.812,-54.382,-65.857,221.924
-0.347,2.151,0.332,61.462,6.104,46.570
-0.216,1.647,0.445,135.437,90.881,-105.164
-0.247,0.712,0.499,186.523,154.419,-212.402
-0.180,-0.430,0.666,227.234,186.951,-285.706
-0.039,-1.632,0.888,250.305,195.312,-339.539
0.102,-2.580,0.774,236.694,184.631,-376.587
0.143,-3.011,0.517,158.325,159.851,-378.784
0.096,-2.775,0.329,25.879,120.667,-316.895
0.452,-2.249,0.885,-122.559,62.317,-197.937
-0.239,-0.859,1.004,-175.964,-0.671,-54.077
-0.723,0.107,0.934,-159.546,-55.481,106.995
-0.655,1.025,0.898,-164.978,-105.713,256.409
-0.422,1.881,1.401,-191.406,-134.399,362.122
-0.258,2.174,1.688,-172.302,-146.851,405.640
-0.482,1.703,1.388,-95.520,-148.254,369.324
-0.580,1.203,0.949,22.461,-130.493,249.939
-0.398,0.845,0.611,135.620,-86.365,89.966
-0.332,0.149,0.524,191.711,-16.113,-54.688
-0.335,-0.609,0.519,205.505,59.326,-165.527
-0.240,-1.382,0.617,196.045,121.582,-242.432
-0.134,-1.872,0.789,148.010,160.522,-286.621
-0.086,-1.891,0.883,44.250,166.809,-290.222
-0.117,-1.479,0.868,-67.932,140.320,-240.784
-0.187,-0.691,0.994,-140.686,97.595,-134.949
-0.214,0.035,1.280,-166.870,46.326,3.479
-0.282,0.751,1.142,-144.165,-2.747,145.081
-0.248,1.428,1.239,-126.648,-41.382,264.648
0.018,1.897,1.471,-112.610,-73.669,336.792
0.046,1.833,1.433,-67.139,-93.994,345.032
-0.252,1.221,0.962,4.211,-97.534,277.588
-0.202,0.695,0.549,98.511,-74.890,145.691
-0.089,0.183,0.450,167.053,-24.597,-5.676
-0.109,-0.452,0.459,178.467,36.743,-131.836
-0.132,-1.057,0.626,162.354,90.393,-222.900
-0.057,-1.444,0.915,118.896,120.972,-280.212
-0.078,-1.517,1.040,44.739,122.009,-300.171
-0.169,-1.332,0.938,-39.490,97.717,-272.095
-0.304,-0.943,0.815,-98.022,62.988,-193.359
-0.312,-0.508,1.026,-136.841,26.184,-84.656
-0.217,-0.115,1.041,-127.075,-5.249,28.503
-0.335,0.289,1.030,-101.563,-27.832,134.766
-0.341,0.621,1.186,-98.572,-49.866,211.975
-0.223,0.844,1.330,-87.891,-68.726,246.521
-0.120,0.804,1.354,-59.448,-77.454,236.450
-0.163,0.562,1.139,-12.085,-71.655,182.800
-0.239,0.358,0.939,38.147,-47.485,100.098
-0.268,0.194,0.911,71.167,-11.230,12.390
-0.287,0.096,0.878,76.599,24.048,-59.875
-0.262,-0.005,0.884,68.787,51.941,-106.384
-0.230,-0.137,0.868,57.800,70.007,-127.380
-0.163,-0.234,0.873,41.870,78.735,-128.540
-0.118,-0.292,0.887,23.193,77.881,-112.488
-0.076,-0.304,0.930,6.592,67.993,-82.703
-0.030,-0.282,0.995,-1.404,50.720,-45.837
-0.009,-0.250,1.048,-0.671,28.809,-8.118
-0.011,-0.270,1.066,4.639,5.737,25.391
-0.048,-0.284,1.043,10.742,-13.916,50.049
-0.107,-0.254,1.042,12.634,-29.053,64.392
-0.167,-0.219,1.048,7.935,-39.185,69.519
-0.201,-0.179,1.042,-0.244,-43.213,66.406
