aX,aY,aZ,gX,gY,gZ
-0.559,-1.388,1.183,-100.159,-247.375,-9.827
-0.652,-1.341,1.543,-112.061,-246.399,18.982
-0.742,-1.270,1.852,-118.958,-239.746,51.636
-0.803,-1.207,2.127,-120.483,-224.854,86.609
-0.823,-1.121,2.371,-117.615,-201.904,120.483
-0.796,-1.016,2.509,-112.183,-173.157,151.611
-0.727,-0.870,2.606,-107.239,-141.052,180.969
-0.658,-0.728,2.647,-104.614,-108.337,209.045
-0.589,-0.546,2.634,-100.952,-76.782,233.398
-0.532,-0.309,2.569,-98.083,-47.729,254.333
-0.473,-0.067,2.472,-99.121,-20.874,273.987
-0.400,0.163,2.343,-104.492,4.517,290.771
-0.326,0.355,2.202,-110.291,29.907,301.208
-0.275,0.486,2.060,-111.755,53.650,303.040
-0.273,0.548,1.879,-108.459,71.350,297.241
-0.342,0.623,1.687,-107.483,80.322,287.354
-0.399,0.764,1.589,-118.958,83.740,279.297
-0.429,0.937,1.539,-139.526,87.097,274.597
-0.448,1.102,1.529,-151.001,95.398,269.470
-0.460,1.263,1.528,-155.029,107.239,262.390
-0.454,1.361,1.499,-152.954,118.408,252.686
-0.465,1.431,1.396,-143.311,128.723,238.708
-0.507,1.493,1.332,-132.324,138.611,220.703
-0.521,1.526,1.297,-124.817,146.423,202.881
-0.536,1.573,1.273,-118.164,150.818,185.425
-0.549,1.658,1.268,-111.023,152.893,166.687
-0.546,1.731,1.237,-101.685,153.076,146.851
-0.524,1.743,1.156,-91.675,153.625,125.183
-0.528,1.716,1.045,-83.252,156.982,101.013
-0.523,1.697,1.001,-80.017,163.269,74.829
-0.526,1.710,1.001,-81.055,169.312,47.729
-0.542,1.737,1.031,-77.515,173.096,21.545
-0.567,1.772,1.047,-67.383,174.194,-2.869
-0.596,1.779,1.009,-52.429,174.194,-24.963
-0.635,1.739,0.917,-33.936,176.086,-46.143
-0.651,1.674,0.845,-18.066,180.786,-66.589
-0.679,1.593,0.702,-8.362,185.120,-86.548
-0.713,1.498,0.588,-4.089,189.331,-105.957
-0.689,1.428,0.550,-7.812,189.941,-123.718
-0.659,1.361,0.501,-18.799,185.181,-140.015
-0.644,1.301,0.440,-22.888,179.077,-158.508
-0.655,1.248,0.387,-15.015,172.729,-177.917
-0.696,1.184,0.309,-3.235,164.734,-194.702
-0.713,1.084,0.210,7.507,155.151,-207.092
